computed_at,domain,series_id,series_label,latest_period,latest_value,latest_change,prior_change_mean,prior_change_std,z_score,is_anomaly,n_prior_changes
2026-09-07T13:06:59Z,macro,ZAF:SP.POP.TOTL,"ZAF — Population, total",2025,64747319.0,740132.0,833081.142857,197446.690078,-0.471,False,14
2026-09-07T13:06:59Z,macro,ZAF:TX.VAL.MANF.ZS.UN,ZAF — Manufactured exports (% of merchandise exports),2025,38.3029062870432,-0.8456912224854989,-0.68198,3.126322,-0.052,False,14
2026-09-07T13:06:59Z,trade,Botswana:1:Export,Botswana — Animals; live (Export),2023,45727525.564,-52304664.394,24457685.1885,14887104.188032,-5.156,True,4
2026-09-07T13:06:59Z,trade,Botswana:2:Export,Botswana — Meat and edible meat offal (Export),2023,23733917.267,12416529.170000002,-21516655.02775,20226295.381084,1.678,False,4
2026-09-07T13:06:59Z,trade,Botswana:4:Import,"Botswana — Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included (Import)",2023,51588747.097,-1582285.5839999989,-506872.60575,7959883.513662,-0.135,False,4
2026-09-07T13:06:59Z,trade,Botswana:10:Import,Botswana — Cereals (Import),2023,155438424.979,-45323211.426,24493489.39175,27816086.447714,-2.51,True,4
2026-09-07T13:06:59Z,trade,Botswana:15:Import,"Botswana — Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes (Import)",2023,52183120.938,-14526002.578999996,7044722.513,7086399.466018,-3.044,True,4
2026-09-07T13:06:59Z,trade,Botswana:17:Import,Botswana — Sugars and sugar confectionery (Import),2023,80666438.568,-85471339.084,24735723.576,40882882.118201,-2.696,True,4
2026-09-07T13:06:59Z,trade,Botswana:19:Import,"Botswana — Preparations of cereals, flour, starch or milk; pastrycooks' products (Import)",2023,75397542.152,546657.0089999884,5170022.01575,2827488.078402,-1.635,False,4
2026-09-07T13:06:59Z,trade,Botswana:20:Import,"Botswana — Preparations of vegetables, fruit, nuts or other parts of plants (Import)",2023,77267719.989,5362717.606999993,799257.59075,4292336.163557,1.063,False,4
2026-09-07T13:06:59Z,trade,Botswana:21:Import,Botswana — Miscellaneous edible preparations (Import),2023,68460717.43,-3942562.527999997,3560450.3895,5579207.893419,-1.345,False,4
2026-09-07T13:06:59Z,trade,Botswana:22:Import,"Botswana — Beverages, spirits and vinegar (Import)",2023,279430828.757,114427032.39300004,10242390.43775,34692353.533584,3.003,True,4
2026-09-07T13:06:59Z,trade,Botswana:23:Import,"Botswana — Food industries, residues and wastes thereof; prepared animal fodder (Import)",2023,51258295.472,2610066.9760000035,1513473.08725,5062581.857743,0.217,False,4
2026-09-07T13:06:59Z,trade,Botswana:25:Import,"Botswana — Salt; sulphur; earths, stone; plastering materials, lime and cement (Import)",2023,59693993.619,-1840241.985999994,743233.039,13772380.348698,-0.188,False,4
2026-09-07T13:06:59Z,trade,Botswana:26:Export,"Botswana — Ores, slag and ash (Export)",2023,507903421.548,183715442.12199998,79289199.8555,97488982.225201,1.071,False,4
2026-09-07T13:06:59Z,trade,Botswana:27:Import,"Botswana — Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes (Import)",2023,1318710332.98,-179052605.34599996,161671445.264,230874803.565682,-1.476,False,4
2026-09-07T13:06:59Z,trade,Botswana:28:Export,"Botswana — Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes (Export)",2023,56491049.804,-22630.234999999404,2273629.54175,10429113.090232,-0.22,False,4
2026-09-07T13:06:59Z,trade,Botswana:30:Import,Botswana — Pharmaceutical products (Import),2023,138301412.336,12603581.784999996,2695772.204,51425544.356309,0.193,False,4
2026-09-07T13:06:59Z,trade,Botswana:33:Import,"Botswana — Essential oils and resinoids; perfumery, cosmetic or toilet preparations (Import)",2023,79358259.766,4656261.724000007,1194552.82325,8168127.851528,0.424,False,4
2026-09-07T13:06:59Z,trade,Botswana:34:Import,"Botswana — Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster (Import)",2023,82959809.474,3501143.675000012,3408487.5195,7137025.239385,0.013,False,4
2026-09-07T13:06:59Z,trade,Botswana:38:Import,Botswana — Chemical products n.e.c. (Import),2023,69278876.666,-3138219.1350000054,6220751.04675,23479550.318844,-0.399,False,4
2026-09-07T13:06:59Z,trade,Botswana:39:Import,Botswana — Plastics and articles thereof (Import),2023,154165583.016,-21914056.537999988,13299978.44125,26302529.10661,-1.339,False,4
2026-09-07T13:06:59Z,trade,Botswana:40:Import,Botswana — Rubber and articles thereof (Import),2023,77149795.788,-11789482.596,5514313.98025,14445538.618559,-1.198,False,4
2026-09-07T13:06:59Z,trade,Botswana:44:Import,Botswana — Wood and articles of wood; wood charcoal (Import),2023,66319453.665,-7963562.537999995,281390.951,22074581.445223,-0.374,False,4
2026-09-07T13:06:59Z,trade,Botswana:48:Import,"Botswana — Paper and paperboard; articles of paper pulp, of paper or paperboard (Import)",2023,69866021.142,-1893645.4710000008,1484148.5145,6954423.928766,-0.486,False,4
2026-09-07T13:06:59Z,trade,Botswana:61:Import,Botswana — Apparel and clothing accessories; knitted or crocheted (Import),2023,38587861.132,-2472955.2690000013,-1623602.5505,10971628.358887,-0.077,False,4
2026-09-07T13:06:59Z,trade,Botswana:64:Import,Botswana — Footwear; gaiters and the like; parts of such articles (Import),2023,40379775.917,-5360227.867999993,724686.4395,8893922.436495,-0.684,False,4
2026-09-07T13:06:59Z,trade,Botswana:68:Import,"Botswana — Stone, plaster, cement, asbestos, mica or similar materials; articles thereof (Import)",2023,29481257.661,-1665127.5410000011,2715018.5475,19870719.257894,-0.22,False,4
2026-09-07T13:06:59Z,trade,Botswana:71:Export,"Botswana — Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin (Export)",2023,4357365454.981,-3015201350.6759996,322315747.4505,1874312090.28269,-1.781,False,4
