pulled_at,country,country_code,indicator_code,indicator_name,outcome_link,year,value
2026-09-03T12:26:23Z,Eswatini,SWZ,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2014,11.9504856315641
2026-09-03T12:26:23Z,Eswatini,SWZ,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2013,10.9113844873232
2026-09-03T12:26:23Z,Eswatini,SWZ,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2012,5.05366904415604
2026-09-03T12:26:23Z,Eswatini,SWZ,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2011,-5.9649333225146
2026-09-03T12:26:23Z,Eswatini,SWZ,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2010,-8.90472208675336
2026-09-03T12:26:23Z,South Africa,ZAF,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2025,-0.422766754018983
2026-09-03T12:26:23Z,South Africa,ZAF,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2024,-0.64279979707505
2026-09-03T12:26:23Z,South Africa,ZAF,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2023,-1.10356312207881
2026-09-03T12:26:23Z,South Africa,ZAF,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2022,-0.296182598127432
2026-09-03T12:26:23Z,South Africa,ZAF,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2021,3.7724136934501
2026-09-03T12:26:23Z,South Africa,ZAF,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2020,2.00352275153333
2026-09-03T12:26:23Z,South Africa,ZAF,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2019,-2.6199906748304
2026-09-03T12:26:23Z,South Africa,ZAF,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2018,-3.00051939426576
2026-09-03T12:26:23Z,South Africa,ZAF,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2017,-2.37436753188649
2026-09-03T12:26:23Z,South Africa,ZAF,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2016,-2.63361451678797
2026-09-03T12:26:23Z,South Africa,ZAF,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2015,-4.31028688643789
2026-09-03T12:26:23Z,South Africa,ZAF,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2014,-4.81243259488482
2026-09-03T12:26:23Z,South Africa,ZAF,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2013,-5.33837274756911
2026-09-03T12:26:23Z,South Africa,ZAF,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2012,-4.68373643403848
2026-09-03T12:26:23Z,South Africa,ZAF,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2011,-2.01967628513274
2026-09-03T12:26:23Z,South Africa,ZAF,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2010,-1.29901805615596
2026-09-03T12:26:23Z,Botswana,BWA,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2025,-5.47717174896797
2026-09-03T12:26:23Z,Botswana,BWA,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2024,-15.2919425607103
2026-09-03T12:26:23Z,Botswana,BWA,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2023,-4.31904697351355
2026-09-03T12:26:23Z,Botswana,BWA,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2022,0.888527442489679
2026-09-03T12:26:23Z,Botswana,BWA,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2021,-7.49985978033914
2026-09-03T12:26:23Z,Botswana,BWA,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2020,-17.8230388131339
